comment,toxic,comment_clean
"json.dump(f, discovered_data)",0,jsondumpf discovereddata
"You are breaking bootstrap_admin_node.sh script logic when deleting this line:
 https://github.com/openstack/fuel-main/blob/master/iso/bootstrap_admin_node.sh#L271",0,you are breaking bootstrapadminnodesh script logic when deleting this line
You killed the magic query! Why!,0,you killed the magic query why
"nit: alignment here is off, project_id should be lined up with nova_fixtures above.",0,nit alignment here is off projectid should be lined up with novafixtures above
"i dont see these happening in my testing of this. I may be doing it wrong, so I'll keep my -1 until I realize I am an idiot or its not working.",0,i dont see these happening in my testing of this i may be doing it wrong so i will keep my 1 until i realize i am an idiot or its not working
typo: `genenv.sh`,0,typo genenvsh
"not your fault, but i think that this flag should've instead been named acpi_ac and made to default to being on. then boards like this one could unset it in their overlays.",0,not your fault but i think that this flag shouldve instead been named acpiac and made to default to being on then boards like this one could unset it in their overlays
Are you missing @httpretty.activate to monkey patch sockets?,0,are you missing to monkey patch sockets
"typo in commit message:
 which test should be executed when ran within MultiUserTestCase",0,typo in commit message which test should be executed when ran within multiusertestcase
if you're fixing nits anyway... s/a //,0,if you are fixing nits anyway sa
kPrimNot == 0 as above.,0,kprimnot 0 as above
"Barbican is only incubated, and potential graduation is something we shouldn't bank on entirely.
 
 I'd really like to see a *dumb* key allocator done just in Nova for the instances as a fallback. Even though it's not 100% secure, it would handle the at rest problem of another user booting their guest and doing strings on /dev/sda1 to pull out previous user data (this is something which has previously been exploited at amazon, rax, and digitial ocean, so definitely worth protecting against even before Barbican becomes a full part of OpenStack).",0,barbican is only incubated and potential graduation is something we should not bank on entirely id really like to see a dumb key allocator done just in nova for the instances as a fallback even though it is not 100 secure it would handle the at rest problem of another user booting their guest and doing strings on devsda1 to pull out previous user data this is something which has previously been exploited at amazon rax and digitial ocean so definitely worth protecting against even before barbican becomes a full part of openstack
nit: this check is testing WTF::Vector is initialized empty which is not needed here.,0,nit this check is testing wtfvector is initialized empty which is not needed here
"Just for readability, but it does look a bit silly now.",1,just for readability but it does look a bit silly now
any reasons for not using @decorators or context managers here? It's strange you don't stop these mocks.,1,any reasons for not using decorators or context managers here it is strange you do not stop these mocks
You still pollute the class with _hook and _post and whatnot. Please see below how to avoid it.,0,you still pollute the class with hook and post and whatnot please see below how to avoid it
"Hmm, you're right. I will leave them in OidcBase and remove them from here",0,hmm you are right i will leave them in oidcbase and remove them from here
should have been a single colon,0,should have been a single colon
Are these dummies really necessary?,0,are these dummies really necessary
"I believe we can get rid of `_missing` object by rewriting condition that way:
 
  if self.__name__ not in obj.__dict__:",0,i believe we can get rid of missing object by rewriting condition that way if selfname not in objdict
"I think you may need to say .subquery() or .as_scalar() here, too",0,i think you may need to say subquery or asscalar here too
I think it should be a dict.,0,i think it should be a dict
"Sorry, but this is so horribly ugly (and error-prone)",1,sorry but this is so horribly ugly and errorprone
i'm ok if we kill the stub backend.,0,i am ok if we kill the stub backend
From operational point of view we can say that subnet without a network is useless. I will change. Thanks.,0,from operational point of view we can say that subnet without a network is useless i will change thanks
Please also remove these mixins. I don't see how they are useful,0,please also remove these mixins i do not see how they are useful
Commented out code should be removed.,0,commented out code should be removed
"Damned if you do, damned if you don't (I'm doing it because I've gotten nits about it).

I do the same as you're suggesting in other code bases...",1,damned if you do damned if you do not i am doing it because i have gotten nits about it i do the same as you are suggesting in other code bases
"nit: data.get('with_subnet') would work just fine, since None is a false value.",0,nit datagetwithsubnet would work just fine since none is a false value
"I might be being stupid, but I really don't see the purpose of the
 
  [:self._remaining]
 
 here.",0,i might be being stupid but i really do not see the purpose of the selfremaining here
"You don't need these separate vars, just use the side_effect inline with the nested context mocks below.",0,you do not need these separate vars just use the sideeffect inline with the nested context mocks below
What tools? I only see start-stop-daemon being used in this script.,0,what tools i only see startstopdaemon being used in this script
I think this 'tempurl' should be removed like below.,0,i think this tempurl should be removed like below
_check_gateway_in_subnet should be a classmethod in order to use cls._check_subnet_ip instead of NeutronDbPluginV2._check_subnet_ip.,0,checkgatewayinsubnet should be a classmethod in order to use clschecksubnetip instead of neutrondbpluginv2checksubnetip
"Again, this comment should be removed or we should have two sections like above.",0,again this comment should be removed or we should have two sections like above
"Wow, that is really stinky. Thanks Lucas.",0,wow that is really stinky thanks lucas
"Output formatting is kind of ugly right now, yeah.",1,output formatting is kind of ugly right now yeah
"please, get rid of this function",0,please get rid of this function
"So in comparing with the other puppet jobs, we should create the bundled gems dir and switch to a similar pattern for the installation and running of bundler.
 
  mkdir .bundled_gems
  export GEM_HOME=`pwd`/.bundled_gems
  gem install bundler --no-rdoc --no-ri --verbose
  $GEM_HOME/bin/bundle install --retry 3
  $GEM_HOME/bin/bundle exec rake lint
  $GEM_HOME/bin/bundle exec rake validate
  $GEM_HOME/bin/bundle exec rake spec
 
 Also do we want to go back to a template to at least check puppet 3.x and puppet 4.x?",0,so in comparing with the other puppet jobs we should create the bundled gems dir and switch to a similar pattern for the installation and running of bundler mkdir bundledgems export gemhomepwdbundledgems gem install bundler nordoc nori verbose gemhomebinbundle install retry 3 gemhomebinbundle exec rake lint gemhomebinbundle exec rake validate gemhomebinbundle exec rake spec also do we want to go back to a template to at least check puppet 3x and puppet 4x
__init__.py now should be empty.,0,initpy now should be empty
SessionManager is a chrmoes only component. This block needs to be OS_CHROMEOS only if AutomationManagerAura is used on other platforms.,0,sessionmanager is a chrmoes only component this block needs to be oschromeos only if automationmanageraura is used on other platforms
I think the part about 'the user is responsible' can be removed? block on L367 will be executed anyway as I read it,0,i think the part about the user is responsible can be removed block on l367 will be executed anyway as i read it
Eliminate backslash. Here and later in file,0,eliminate backslash here and later in file
delete the `die`,0,delete the die
"Commented line, do we need another fixme, or should this be removed?",0,commented line do we need another fixme or should this be removed
"Was going to ask why you didn't do this as a query string parameter... then I realized I was being dumb because nobody in their right mind should do a delete off a GET method. So... yes, this a handy trick.",0,was going to ask why you did not do this as a query string parameter then i realized i was being dumb because nobody in their right mind should do a delete off a get method so yes this a handy trick
"You mean after executing the template? It is not trivial, since \n are significant inside code snippets.

I failed to understand how to force text/template to emit correct spaces. I tried {- and -} and various combinations of thereof. This shit is insane. I gave up.",1,you mean after executing the template it is not trivial since n are significant inside code snippets i failed to understand how to force texttemplate to emit correct spaces i tried and and various combinations of thereof this shit is insane i gave up
"Hmm, actually -- this isn't a stdlib, it should be inserted at line 25
 
 Please check other six imports too",0,hmm actually this is not a stdlib it should be inserted at line 25 please check other six imports too
stupid trailing space,1,stupid trailing space
:( The downside of taking these guides out of the openstack-manuals: no easy way to reference other files. I'll yank out this link.,0,the downside of taking these guides out of the openstackmanuals no easy way to reference other files i will yank out this link
We're killing all enum tests so dont add this one n https://review.openstack.org/#/c/244370/4,0,we are killing all enum tests so dont add this one n
"This adapter is very inefficient: you should not be creating a new View everytime. Reuse the convertView whenever possible.

Also, the last parameter is wrong, you need to supply the parent View to the inflater:

mInflater.inflate(..., parent, false);",0,this adapter is very inefficient you should not be creating a new view everytime reuse the convertview whenever possible also the last parameter is wrong you need to supply the parent view to the inflater minflaterinflate parent false
The only reason to do this is that we have apps whose heap dump exceeds 270M. The MAX_BUF_SIZE has to be atleast twice the size of the heapdump.,0,the only reason to do this is that we have apps whose heap dump exceeds 270m the maxbufsize has to be atleast twice the size of the heapdump
Format requires () and not <> around emails. I know it sucks.,1,format requires and not around emails i know it sucks
"inconsistent with devstack, see stack.sh for definitive style. Xen scripts are a mess.",0,inconsistent with devstack see stacksh for definitive style xen scripts are a mess
"I see why you did it this way in just a straight removal of the Tuskar stuff, but it looks goofy outside of that context. Can we just use TEMPLATE_NAME instead of this local var?",0,i see why you did it this way in just a straight removal of the tuskar stuff but it looks goofy outside of that context can we just use templatename instead of this local var
this line should be params=params,0,this line should be paramsparams
"Can you add checks here, and below? A malformed elf could have a huge sh_size that causes this to fail.",0,can you add checks here and below a malformed elf could have a huge shsize that causes this to fail
"oops, silly editor - fixed locally and will be in the next revision (assuming there is one).",1,oops silly editor fixed locally and will be in the next revision assuming there is one
It is coming from iterating the edges member which is a WTF::Vector.,0,it is coming from iterating the edges member which is a wtfvector
Several E12* checks are wrong and contradict pep8; we should ignore them.,0,several e12 checks are wrong and contradict pep8 we should ignore them
"See, this is why having the changelog on the client side sucks - you removed the client side method, so felt you needed to update the changelog, so felt you needed to bump the version number :)",1,see this is why having the changelog on the client side sucks you removed the client side method so felt you needed to update the changelog so felt you needed to bump the version number
remove std::,0,remove std
should be .ssync_sender._encode_missing,0,should be ssyncsenderencodemissing
"For loop seems to be simpler:
 for (let configIdx = 0; configIdx * 4 < streamConfigTag.length; configIdx++)",0,for loop seems to be simpler for let configidx 0 configidx 4 streamconfigtaglength configidx
recommend net_radio_prop instead of system_or_radio_prop.,0,recommend netradioprop instead of systemorradioprop
nitpick: keyston*e*_admin,0,nitpick keystoneadmin
"arse, I had a change which did this but backed it out because it was more disruptive ;)",1,arse i had a change which did this but backed it out because it was more disruptive
get_by_name and allow_node_logical_names mocks seems not necessary here.,0,getbyname and allownodelogicalnames mocks seems not necessary here
"Daniel, do you have a tracking bug for this that I could reference here? (Or would crbug.com/778318 cover this as well?)",0,daniel do you have a tracking bug for this that i could reference here or would crbugcom778318 cover this as well
"Ok, I see what you're saying, so I added a CHECK_LE(), not just for overall defensive coding, but also since these APIs are kind of peculiar in the first place (i.e. the cb/cch args are so weird, what if I screwed them up? Or what if I pass one size and check against a different size?)

Friendly joke: Now that I understand your thinking, I fully expect you to 1) find all calls to open() and make sure they check for fds < -1, 2) find all calls to read() and add a CHECK_LE() in case it overran the buffer. ;-) ;-) ;-)",1,ok i see what you are saying so i added a checkle not just for overall defensive coding but also since these apis are kind of peculiar in the first place ie the cbcch args are so weird what if i screwed them up or what if i pass one size and check against a different size friendly joke now that i understand your thinking i fully expect you to 1 find all calls to open and make sure they check for fds 1 2 find all calls to read and add a checkle in case it overran the buffer
"note: this URL is going to be dead/broken in less than a month, so listing it isn't terribly useful",1,note this url is going to be deadbroken in less than a month so listing it is not terribly useful
"only a stub.
 Info are in the wadl file.",0,only a stub info are in the wadl file
"stupid typo on my side, thanks",0,stupid typo on my side thanks
prefer to mock linux_utils.execute,0,prefer to mock linuxutilsexecute
remove the network_id from the network_ports list,0,remove the networkid from the networkports list
"doesn't this just mean we fucked up the mips syscall.S in bionic? the other architectures move the syscall number into the appropriate register and then make that system call directly. on mips, we actually use a 'syscall' system call. i don't think that's necessary, and we should just fix the mips syscall.S in bionic.

(is __NR_syscall even implemented? i can't find it in the kernel source.)",1,does not this just mean we fucked up the mips syscalls in bionic the other architectures move the syscall number into the appropriate register and then make that system call directly on mips we actually use a syscall system call i do not think that is necessary and we should just fix the mips syscalls in bionic is nrsyscall even implemented i can not find it in the kernel source
"Dammit... good catch... 
 
 Done",1,dammit good catch done
mock it the same way you mock _set_service_state,0,mock it the same way you mock setservicestate
vim header should be removed.,0,vim header should be removed
Should the service be unbound here similar to CustomTabsClient#connectAndInitialize() to allow the OOM killer to kill Chrome if necessary?,0,should the service be unbound here similar to customtabsclientconnectandinitialize to allow the oom killer to kill chrome if necessary
This param is redundant.,0,this param is redundant
Oh crap! I missed this!!!!,1,oh crap i missed this
domain_name=domain_name,0,domainnamedomainname
"you are not returning anything here, you are raising a notimplemented exception",0,you are not returning anything here you are raising a notimplemented exception
All this shit will be better in the next patch.,1,all this shit will be better in the next patch
Of course. Silly me!,0,of course silly me
this whole checking of count value can be simplified. the current revision is too dirty.,0,this whole checking of count value can be simplified the current revision is too dirty
"YOu can't put it in a product makefile like brillo_base.mk. You should put it in an Android.mk, such as device/generic/birllo/Android.mk",0,you can not put it in a product makefile like brillobasemk you should put it in an androidmk such as devicegenericbirlloandroidmk
"Dumb question. If Ironic isn't even 'ready' yet, why mention these deprecations (is that a word?)",0,dumb question if ironic is not even ready yet why mention these deprecations is that a word
"Should be port_pairs only, Same as the dict param else can not display the values",0,should be portpairs only same as the dict param else can not display the values
"The host doesn't have to handle the rollover. The host side is pretty dumb, it just compares the sample ID before and after reading data. If they match, then the host is happy.",0,the host does not have to handle the rollover the host side is pretty dumb it just compares the sample id before and after reading data if they match then the host is happy
liar!,1,liar
"That is a good point. Arguably, Minijail does allow you to fuck some things up (but not many) -- you can always pass a full capabilities mask for example.

If you want to draft a version of this CL that delays the ELF linkage check, that's fine. If you want to land this to unblock other work, that's OK.",1,that is a good point arguably minijail does allow you to fuck some things up but not many you can always pass a full capabilities mask for example if you want to draft a version of this cl that delays the elf linkage check that is fine if you want to land this to unblock other work that is ok
test_show_quotas_subproject,0,testshowquotassubproject
"ok, my concern is that would impact a lot more code and status is notorious for being kind of garbage on some services. Which is part of the systemd win, that we'll get on Ubuntu in the next LTS and be able to dump all these work arounds.",0,ok my concern is that would impact a lot more code and status is notorious for being kind of garbage on some services which is part of the systemd win that we will get on ubuntu in the next lts and be able to dump all these work arounds
"> This approach should cover your example (because user will
  > get a 404). And that should also cover ""other cases"" (e.g.
  > network problem between Glance and the backend store)
  > which the user shouldn't know/care about.
 
 it doesn't 404 was just an example, it can be anything, another example.
 
  - me: upload image http://gdfgdgf
  - glance: NotFound(""image url failed fetch returned: <Any HTTP status that you can think about>"")
  - me: Ohh shit my url is not working because ...
  - me: upload image http://<correct URI>
 
 Like i said if we agree that reason doesn't contain any security issue then why hide it at all, if it's not meant for the user (special case faulty switch) so be it, if it's user problem that a big win.",1,this approach should cover your example because user will get a 404 and that should also cover other cases eg network problem between glance and the backend store which the user should not knowcare about it does not 404 was just an example it can be anything another example me upload image glance notfoundimage url failed fetch returned any http status that you can think about me ohh shit my url is not working because me upload image uri like i said if we agree that reason does not contain any security issue then why hide it at all if it is not meant for the user special case faulty switch so be it if it is user problem that a big win
this die is not needed -- emake will already abort,0,this die is not needed emake will already abort
"In case sb_read fails, we probably want to skip the write, since mode may be uninitialized / garbage.",0,in case sbread fails we probably want to skip the write since mode may be uninitialized garbage
You can use the ANGLE_GL_PROGRAM and add a GLShader type in gl_raii.h to not need this.,0,you can use the angleglprogram and add a glshader type in glraiih to not need this
"Yuck, cruft, will remove tomorrow. Wonder why it didn't warn me...",1,yuck cruft will remove tomorrow wonder why it did not warn me
"Because the : operator is dumb, it doesn't take nullopt here, and
  kerberos_files_handler_.SetFiles(
      response.files().has_krb5cc() ? response.files().krb5cc()
                                    : base::Optional<std::string>(),
      response.files().has_krb5conf() ? response.files().krb5conf()
                                      : base::Optional<std::string>());
is one line longer and less readable.",1,because the operator is dumb it does not take nullopt here and kerberosfileshandlersetfiles responsefileshaskrb5cc responsefileskrb5cc baseoptionalstdstring responsefileshaskrb5conf responsefileskrb5conf baseoptionalstdstring is one line longer and less readable
"you should use:
 
  mocks['fill_udp_checksum'].assert_called_once_with()",0,you should use mocksfilludpchecksumassertcalledoncewith
Shouldn't you let start.sh run keepalived?,0,should not you let startsh run keepalived
Crazy rebasing... I'll restore last values.,1,crazy rebasing i will restore last values
"nit: is this death-worthy? since it's in a tempdir, i'd just say `rm -f` and remove the `|| die`.",0,nit is this deathworthy since it is in a tempdir id just say rm f and remove the die
"Can we say ""a string-based dump of all <code>logcat</code> information.""?",0,can we say a stringbased dump of all codelogcatcode information
It is common to use **kwargs instead of kwds.,0,it is common to use kwargs instead of kwds
i think we will need names for this and the other FK below,0,i think we will need names for this and the other fk below
"Ya, one mans garbage is another mans not garbage. It'd be nicer to have a log level for this stuff; since when the shit hits the fan it can actually be useful, better to have things and just turn then off then not have them at all.",1,ya one mans garbage is another mans not garbage itd be nicer to have a log level for this stuff since when the shit hits the fan it can actually be useful better to have things and just turn then off then not have them at all
RUN usermod -a -G kolla haproxy,0,run usermod a g kolla haproxy
This comment isn't really enough to explain why this is being done. Or at least it is late enough in the day and I'm stupid enough to not get it.,0,this comment is not really enough to explain why this is being done or at least it is late enough in the day and i am stupid enough to not get it
it's an useless class.,0,it is an useless class
remove all author tags,0,remove all author tags
"""$rc -eq 0"" is not needed here - above we return from the function if ""$rc -ne 0""",0,rc eq 0 is not needed here above we return from the function if rc ne 0
"This is generated by tools/conf/generate_sample.sh which has ""WORDWRAP_WIDTH = 60"", so nothing I can change here.",0,this is generated by toolsconfgeneratesamplesh which has wordwrapwidth 60 so nothing i can change here
teeny tiny nit: extra space,0,teeny tiny nit extra space
"This DCHECK isn't needed, as dereferencing nullptr will cause a crash anyway.",0,this dcheck is not needed as dereferencing nullptr will cause a crash anyway
this is actually terrible ...,1,this is actually terrible
do they use GCC? the macro is only because clang sucks at fortify (and the clang folks seem pretty uninterested in having working fortification). GCC gets an inline function.,1,do they use gcc the macro is only because clang sucks at fortify and the clang folks seem pretty uninterested in having working fortification gcc gets an inline function
"yeah, we can make it a staticmethod.
 
 I just hate those docs, as they drift out of sync.",1,yeah we can make it a staticmethod i just hate those docs as they drift out of sync
"These two are unnecessary for realloc, so you can put them under `#ifdef GUARD_BLOCKS`.",0,these two are unnecessary for realloc so you can put them under ifdef guardblocks
"u""killed"" -> u""Killed"" ?",0,ukilled ukilled
You mean here and on lines 60 and 62? Those exception are just to verify that this fixup works... And I need Jenkins to fail to see either one of those messages. And nothing fails! Damn heisenbug!,1,you mean here and on lines 60 and 62 those exception are just to verify that this fixup works and i need jenkins to fail to see either one of those messages and nothing fails damn heisenbug
"Let's also unset |handle_| too, so that if we erroneously end up being called twice we don't try to kill the already killed process (or, even worse, trying to kill some newly started process that reused our PID).",0,lets also unset handle too so that if we erroneously end up being called twice we do not try to kill the already killed process or even worse trying to kill some newly started process that reused our pid
Yes we can LOL. *Smacks head*. That piece of code is deserving to be on those '10 worst pieces of code ever' lists.,0,yes we can lol smacks head that piece of code is deserving to be on those 10 worst pieces of code ever lists
I hate to be anal but shouldn't the equals be extended a little farther out to match the number of characters in Federation?,1,i hate to be anal but should not the equals be extended a little farther out to match the number of characters in federation
"?
 
 Please learn a little of English language before using. On top of that, please learn a little of Python before commiting the patches.
 
 Overall, this docstring is bad and you should feel bad. Learning why this is a bad docstring is left for you as an exercise.",0,please learn a little of english language before using on top of that please learn a little of python before commiting the patches overall this docstring is bad and you should feel bad learning why this is a bad docstring is left for you as an exercise
nit: put deleted_at on it's own line to be consistent.,0,nit put deletedat on it is own line to be consistent
"You should be able to just do json.dump(obj, file_obj)",0,you should be able to just do jsondumpobj fileobj
remove pyc,0,remove pyc
intersect' is a little vague. wwpns_on_vios?,0,intersect is a little vague wwpnsonvios
nit: boot_device = CIMC_TO_IRONIC_BOOT_DEVICE.get(first_device.Rn) if first_device else else None,0,nit bootdevice cimctoironicbootdevicegetfirstdevicern if firstdevice else else none
dumb question can't you just invoke .count() on the query object after the group_by call?,0,dumb question can not you just invoke count on the query object after the groupby call
"nit/optional: given these are basically for constructing an instance of this class, slightly prefer having these above ctor / other methods",0,nitoptional given these are basically for constructing an instance of this class slightly prefer having these above ctor other methods
"Ack, I'm not familiar with this command well so sorry for stupid questions :)",0,ack i am not familiar with this command well so sorry for stupid questions
"looks like you removed the use of this, so you can kill it.",0,looks like you removed the use of this so you can kill it
Maybe better to leave Node.dpdk_enabled and use delegation here?,0,maybe better to leave nodedpdkenabled and use delegation here
"my stupidity, will correct soon :(",0,my stupidity will correct soon
At a minimum we should output a loge or maybe even throw an exception?,0,at a minimum we should output a loge or maybe even throw an exception
"Done, if ugly.",1,done if ugly
Want to make this lazy?,0,want to make this lazy
"nit: 
 
 self._enforce_endpoint_id
 self._enforce_service_id",0,nit selfenforceendpointid selfenforceserviceid
Could i selfishly add this by the next patch? Just to keep your precious +2? ...a little shame.,1,could i selfishly add this by the next patch just to keep your precious 2 a little shame
We need to dump data to yaml in UploadConfiguration task serialization: http://paste.openstack.org/show/487110/,0,we need to dump data to yaml in uploadconfiguration task serialization
"Provide the cause when constructing the CertificateException. Otherwise developers will only see an unhelpful ""Failed to call checkServerTrusted"" message with no information whatsoever when something goes wrong.",0,provide the cause when constructing the certificateexception otherwise developers will only see an unhelpful failed to call checkservertrusted message with no information whatsoever when something goes wrong
If I understand that correctly I think you should be CHARACTER_SEQUENCES_MIN.,0,if i understand that correctly i think you should be charactersequencesmin
useless,0,useless
Done: https://bugs.launchpad.net/tempest/+bug/1587296,0,done
"I would like to see an exceptions.py under common package to place those CK exceptions instead of creating them randomly everywhere.
 
 And it would be nice using Exception as suffix instead of Error.",0,i would like to see an exceptionspy under common package to place those ck exceptions instead of creating them randomly everywhere and it would be nice using exception as suffix instead of error
"Oh good catch, dammit, I should definitely write a new Object then.",1,oh good catch dammit i should definitely write a new object then
Done. Curse my cargoculting!,1,done curse my cargoculting
should be ocf_run kill .....,0,should be ocfrun kill
"This should work as well.
  .return_value.hostname = ""foo_host""",0,this should work as well returnvaluehostname foohost
"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty.  Yuck!",1,this was actually shockingly bad since it meant that wed always calculate the hashed id even if the blacklist was empty yuck
"this should be 
boot_id = self.action_suspend()",0,this should be bootid selfactionsuspend
silly nit: alphabetical order,1,silly nit alphabetical order
I think this code should just be put into the caller - it's really not doing any extra work than calling utils.execute(),0,i think this code should just be put into the caller it is really not doing any extra work than calling utilsexecute
I feel it is better if you use bitwise OR instead of arithmetics.,0,i feel it is better if you use bitwise or instead of arithmetics
noqa is not needed here,0,noqa is not needed here
another unprintable char at the end,0,another unprintable char at the end
"Please, use:
 
 def __exit__(self, *exc):
  if not any(exc):
  waitÃ¢â‚¬Â¦.
 
 Additionally, I'm concerned with the fact that we'll ignore all created threads in this pool, so, maybe we should kill all of them?",0,please use def exitself exc if not anyexc wait additionally i am concerned with the fact that we will ignore all created threads in this pool so maybe we should kill all of them
"you can write:
 
  with self.tap_service() as ts, Â¥
  self.tap_flow(tap_service=ts['id']) as tf:",0,you can write with selftapservice as ts selftapflowtapservicetsid as tf
"no. this is cute, but EXIT_FAILURE is a system dependant constante
which does not have to be -1. iow that create a risk of regression, just to be cute

not to mention the wtf factor of prefixing fprintf, for instance",1,no this is cute but exitfailure is a system dependant constante which does not have to be 1 iow that create a risk of regression just to be cute not to mention the wtf factor of prefixing fprintf for instance
recommend changing stucked -> stuck,0,recommend changing stucked stuck
"Should be used ""jsonutils"" from lib ""oslo_serialization""",0,should be used jsonutils from lib osloserialization
"Just a style note: this is really *ugly* indentation. Also, is there a reason you couldn't use the decorator mocks and avoid the nesting?",1,just a style note this is really ugly indentation also is there a reason you could not use the decorator mocks and avoid the nesting
"only_router_id should be conflicted with ids_to_ignore. I mean if we have only_router_id, the ids_to_ignore should always be None.",0,onlyrouterid should be conflicted with idstoignore i mean if we have onlyrouterid the idstoignore should always be none
"I get the meaning of frozen.. but why not? :)
 
 The neutron/plugins/hyperv/model.py file is being removed, so those tables represent False data. Also, its consumers (HyperVNeutronPlugin) will be removed, so it will just be dead code.",0,i get the meaning of frozen but why not the neutronpluginshypervmodelpy file is being removed so those tables represent false data also its consumers hypervneutronplugin will be removed so it will just be dead code
I guess we'll take the word SHIT out.,1,i guess we will take the word shit out
Let's get rid of 'ovs-' here.,0,lets get rid of ovs here
suggest change to not ... and continue so can get rid of this wacky indenting.,1,suggest change to not and continue so can get rid of this wacky indenting
Nit: _instance is an object now: _instance.uuid.,0,nit instance is an object now instanceuuid
"Done, though in a scripting language like sh, it's not clear to me what advantage $COMPRESSED_ROOTFS might have over $ROOTFS.xz.",0,done though in a scripting language like sh it is not clear to me what advantage compressedrootfs might have over rootfsxz
"perhaps ""now that we have dropped the FK"" would be better than ""after we drop FK""",0,perhaps now that we have dropped the fk would be better than after we drop fk
I think it'd be better of moving these rpc setup to do_setup of HuaweiNasDriver,0,i think itd be better of moving these rpc setup to dosetup of huaweinasdriver
Would you be kind enough to add the possibility to not use keystone for this? Like specifying an ID on the command line. :),0,would you be kind enough to add the possibility to not use keystone for this like specifying an id on the command line
You should initialize the fip_q_dict here.,0,you should initialize the fipqdict here
whatttt *shruggggg*,1,what shrug
"oops. might need to grep for this, though cs/ suggests this is the only place we screwed up.

(it sucks that the obviously right name is the one that doesn't work!)",1,oops might need to grep for this though cs suggests this is the only place we screwed up it sucks that the obviously right name is the one that does not work
I've set the mod_wsgi home to $HORIZON_DIR so this shouldn't be a problem.,0,i have set the modwsgi home to horizondir so this should not be a problem
"In the spec, we decided to restrict extracting the properties to CIM_ProcessorAllocationSettingData tags. Can we explicitly do that ? Currenlty, you are matching any tag name.",0,in the spec we decided to restrict extracting the properties to cimprocessorallocationsettingdata tags can we explicitly do that currenlty you are matching any tag name
you might want to rename this (and the next one) to test_get_topic_for_*_driver,0,you might want to rename this and the next one to testgettopicfordriver
public_endpoint and admin_endpoint need to be configurable.,0,publicendpoint and adminendpoint need to be configurable
"If does not work at all:
 
 1. it'd be cool to raise to indicate it to the user rather than disabling debug in his back
 2. I think you are just changing the default, not the actual value so you might still run the app with debug enabled and workers > 1",0,if does not work at all 1 itd be cool to raise to indicate it to the user rather than disabling debug in his back 2 i think you are just changing the default not the actual value so you might still run the app with debug enabled and workers 1
This version needs to be incremented. See the number after rebase.,0,this version needs to be incremented see the number after rebase
"Mark, sorry but I'm not completely understanding why the fact that testing with an instance object doesn't matter here - to just dumb this down for my own sake, are you saying that once I change conductor.manager.compute_stop to handle instance as a dict (instead of object), this test becomes useful?",0,mark sorry but i am not completely understanding why the fact that testing with an instance object does not matter here to just dumb this down for my own sake are you saying that once i change conductormanagercomputestop to handle instance as a dict instead of object this test becomes useful
"If you respin, how about this to make sure it's not being silly:
 
  self.assertEqual(root_bdm, block_device.get_root_bdm(reversed(bdms))",0,if you respin how about this to make sure it is not being silly selfassertequalrootbdm blockdevicegetrootbdmreversedbdms
"you are mistaken 
 you mixed generate_physnet_vlan_ranges output with generate_physnet_mtus output",0,you are mistaken you mixed generatephysnetvlanranges output with generatephysnetmtus output
Completely unhelpful comment. Please be more specific about your objections.,0,completely unhelpful comment please be more specific about your objections
"this stanza is not really needed, according to /bin/kill -KILL -$(ps -oppid= $pid) below, a parent process - mysqld_sage, will kill all its chileds: mysqld, logger, and xtrabackup as well.",0,this stanza is not really needed according to binkill kill ps oppid pid below a parent process mysqldsage will kill all its chileds mysqld logger and xtrabackup as well
"Not working, but I have a dirty hack for it.",0,not working but i have a dirty hack for it
Hmm.... Can't reproduce.... Are you building from scratch?,0,hmm can not reproduce are you building from scratch
"Ugh - this is such a low level detail to put it here.
 
 Why not do it in the scheduler_client.update_resource_stats()?
 
 But really this RT code just sucks :( it's basically one giant function that operates on dicts that eventually get passed into the db update. yuck!",1,ugh this is such a low level detail to put it here why not do it in the schedulerclientupdateresourcestats but really this rt code just sucks it is basically one giant function that operates on dicts that eventually get passed into the db update yuck
let's just kill passing msg for now. I don't actually use it anywhere in this review.,0,lets just kill passing msg for now i do not actually use it anywhere in this review
qos_id=qos_db_item.id?,0,qosidqosdbitemid
That's like creating an issue on github so I can PR. Very silly. I'll do it though.,0,that is like creating an issue on github so i can pr very silly i will do it though
aaarrghh this HW is a disaster ... who designed such a random assignment,1,arrghh this hw is a disaster who designed such a random assignment
This is a stupid mistake. Thanks for catching that.,0,this is a stupid mistake thanks for catching that
See my remarks on configure-etcd.sh:5,0,see my remarks on configureetcdsh5
garbage,0,garbage
I think returning an ass error is a good thing to do. Will add.,0,i think returning an ass error is a good thing to do will add
"please remove hanging closing } & ) through out file.
 
 ie.
 self.existing_driver_name_2: self.existing_driver_2,}",0,please remove hanging closing through out file ie selfexistingdrivername2 selfexistingdriver2
omfg,1,omfg
Nit: Iterables.getOnlyElement.,0,nit iterablesgetonlyelement
"these c*l functions are all defined in terms of others, so they're actually portable between ld64 and ld128.",0,these cl functions are all defined in terms of others so they are actually portable between ld64 and ld128
"I'd like a bug somewhere, and a reference to same, for this fugly.",1,id like a bug somewhere and a reference to same for this fugly
Looks like versionutils.py should be removed.,0,looks like versionutilspy should be removed
this should be self.qos_driver.delete,0,this should be selfqosdriverdelete
